date,exchange,FG,ZC,TA,PM,CF,WH,SR,RI,OI,MA,JR,RM,LR,SM,SF,WS,WT,RO,ER,ME,GN,RS,TC,CY,AP,al,fu,cu,zn,pb,bu,sn,ni,ru,au,ag,rb,hc,wr,sc,IF,TF,T,IC,IH,TS,p,v,jd,l,pp,fb,bb,i,j,jm,c,a,b,m,y,cs,s
2013-02-06,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-07,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1305,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,CZCE,FG1309,,TA1305,PM1309,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,CZCE,FG1309,,TA1305,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-21,CZCE,FG1309,,TA1305,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,CZCE,FG1309,,TA1305,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-25,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-27,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-04,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-05,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-07,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-14,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
