datetime,open,high,low,close
2017.12.12,14.8631,15.3346,14.7638,15.2397
2017.12.13,15.3454,15.6319,14.8176,15.147
2017.12.14,15.3369,15.7041,14.9191,14.995
2017.12.15,15.146,16.0141,14.9449,15.1753
2017.12.18,15.8258,15.8766,15.2808,15.3489
2017.12.19,15.4757,15.5951,14.8589,15.1222
2017.12.20,15.3188,15.7227,15.2721,15.3136
2017.12.21,15.4951,15.6306,14.7562,14.7645
2017.12.22,14.9677,15.1739,14.6776,14.6946
2017.12.25,15.4179,15.7186,14.8651,15.3206
2017.12.26,15.4894,15.6792,14.8537,15.1254
2017.12.27,15.1174,16.7914,14.9918,16.7912
2017.12.28,16.7082,16.8148,15.2346,15.5122
2017.12.29,15.7071,15.7018,14.1291,14.2726
2018.1.2,16.099,16.0993,14.7344,15.0325
2018.1.3,15.3965,15.4611,14.5256,14.8129
2018.1.4,14.9561,15.0728,14.5295,14.6709
2018.1.5,14.7805,14.976,14.415,14.4462
2018.1.8,15.0447,15.3197,14.7509,14.8107
2018.1.9,14.9772,15.0131,14.2635,14.2677
2018.1.10,14.4552,14.7317,14.2898,14.6426
2018.1.11,14.8742,15.6495,14.7803,14.9479
2018.1.12,15.15,15.2242,14.3225,14.3225
2018.1.15,14.9177,15.721,14.8349,15.4627
2018.1.16,15.605,16.1016,15.605,15.9929
2018.1.17,16.2905,18.635,16.2155,16.9044
2018.1.18,16.9631,18.9054,16.8523,18.8917
2018.1.19,19.1213,19.5837,17.9893,18.8832
2018.1.22,19.796,19.8686,18.7956,18.877
2018.1.23,20.184,20.1844,18.4757,19.2839
2018.1.24,19.703,21.2018,19.6113,21.0415
2018.1.25,20.9825,21.08,18.7068,18.7759
2018.1.26,18.8126,19.1163,16.9478,17.1138
2018.1.29,17.9105,18.5766,16.9911,18.4905
2018.1.30,18.8295,18.8973,15.7761,16.0816
2018.1.31,16.3237,17.4406,16.2116,17.1503
2018.2.1,17.3418,17.6266,16.774,16.7855
2018.2.2,17.186,18.1489,16.8406,17.034
2018.2.5,18.3916,19.103,18.0396,18.5466
2018.2.6,19.53,22.62,19.4661,22.2035
2018.2.7,21.64,24.2991,20.15,24.06
2018.2.8,24.29,26.54,24.29,25.67
2018.2.9,27.0049,38.34,27,33.06
2018.2.12,35.23,35.56,24.82,28.19
2018.2.13,28.3861,28.3868,25.4008,27.53
2018.2.14,27.723,27.7494,26.1395,27.316
2018.2.22,27.32,27.66,27.07,27.07
2018.2.23,26.98,26.98,23.97,23.97
2018.2.26,23.98,24.9,23.92,24.32
2018.2.27,24.35,25.7,24.2,25.59
2018.2.28,24.6,25.99,24.6,25.97
2018.3.1,25.98,25.98,24,24.08
2018.3.2,24.08,24.2,23.5,23.6
2018.3.5,23.6,23.7,22.07,22.17
2018.3.6,22.15,22.17,21.07,21.15
2018.3.7,21.17,21.98,21.12,21.85
2018.3.8,21.84,21.84,20.95,20.93
2018.3.9,20.92,20.98,20.3,20.38
2018.3.12,20.36,21.45,20.3,21.29
2018.3.13,21.3,21.8,21.02,21.69
2018.3.14,21.78,21.97,20.23,20.81
2018.3.15,20.71,20.91,19.98,20.17
2018.3.16,20.7,20.72,19.77,20.59
2018.3.19,20.73,20.99,20.58,20.81
2018.3.20,21.22,21.34,20.31,20.59
2018.3.21,20.86,21.11,20.21,21.11
2018.3.22,20.95,21.62,20.35,20.57
2018.3.23,21.2,23.15,21.2,23.15
2018.3.26,24.7,25.52,22.56,23.11
2018.3.27,23.27,23.27,21.52,21.79
2018.3.28,21.92,22.48,21.06,21.4
2018.3.29,25.5,25.97,24.43,25.38
2018.3.30,25.34,26.01,24.43,24.85
2018.4.2,25.3,25.5,24.22,24.47
2018.4.3,25.13,25.16,24.12,24.38
2018.4.4,24.36,24.4,23.6,24.1
2018.4.9,24.71,24.73,24.58,24.66
2018.4.10,24.66,24.77,22.65,23.01
2018.4.11,23.3,23.36,22.86,23.21
2018.4.12,23.39,23.8,23.2,23.69
2018.4.13,23.4,23.8,23.2,23.79
2018.4.16,25.1,25.65,25,25.25
2018.4.17,25.25,25.89,25.12,25.32
2018.4.18,25.2,25.47,24.86,24.9
2018.4.19,25.15,25.15,23.27,23.3
2018.4.20,23.65,23.71,22.37,22.6
2018.4.23,23.4,23.4,22.49,22.51
2018.4.24,22.71,22.93,21.09,22.56
2018.4.25,22.95,23.97,22.23,22.3
2018.4.26,22.3,22.9,22.2,22.6
2018.4.27,22.85,24.37,22.49,23.39
2018.5.2,24.93,25.25,24.84,25.13
2018.5.3,25.26,25.68,24.76,25.3
2018.5.4,25.5,25.86,25.43,25.66
2018.5.7,26.44,26.6,25.34,25.46
2018.5.8,25.54,25.59,24.06,24.13
2018.5.9,24.37,24.44,23.5,23.68
2018.5.10,23.68,23.68,22.26,22.27
2018.5.11,22.4,22.47,21.68,21.78
2018.5.14,22.31,22.43,20.51,20.52
2018.5.15,20.76,20.8,19.09,19.57
2018.5.16,19.88,20.16,19.2,20.16
2018.5.17,19.99,20.13,18.72,18.78
2018.5.18,18.82,18.82,16.97,18.36
2018.5.21,18.78,19.12,17.54,17.95
2018.5.22,18.16,18.32,17.23,17.91
2018.5.23,17.8,18.59,17.51,18.57
2018.5.24,17.84,18.62,17.22,17.98
2018.5.25,18.02,18.37,17.56,17.99
2018.5.28,18.43,18.77,17.89,18.2
2018.5.29,18.57,19.02,18.42,18.8
2018.5.30,19.09,21.47,19.09,21.47
2018.5.31,20.83,21.16,19.76,20.27
2018.6.1,20.42,20.62,20.25,20.47
2018.6.4,20.55,20.61,19.08,19.52
2018.6.5,19.57,19.64,18.54,18.74
2018.6.6,19.1,19.1,18.57,18.86
2018.6.7,18.87,18.87,18,18.23
2018.6.8,18.23,19.76,18.23,19.24
2018.6.11,19.95,20.26,19.35,20.04
2018.6.12,20.35,20.35,18.85,18.94
2018.6.13,19.19,19.28,18.91,19.25
2018.6.14,19.56,19.99,18.91,19.62
2018.6.15,19.84,20.35,19.47,20.02
2018.6.19,21.99,25.08,21.72,23.67
2018.6.20,23.82,23.82,21.07,21.14
2018.6.21,19.86,20.868,19.6065,19.609
2018.6.22,20.1,20.6,19.37,19.39
2018.6.25,20.19,20.49,19.54,20.49
2018.6.26,21.11,22.74,20.14,20.58
2018.6.27,21.59,23.17,20.94,22.68
2018.6.28,23.68,24.9,23.12,23.61
2018.6.29,23.65,23.97,21.34,21.9
2018.7.2,23.43,27.01,23.32,26.38
2018.7.3,25.55,27.62,25,25.93
2018.7.4,26.48,27.57,27.12,27.12
2018.7.5,27.4,28.19,26.6,27.43
2018.7.6,27.06,28,25.64,25.72
2018.7.9,26.11,26.11,22.71,22.74
2018.7.10,23.65,24.44,22.74,22.83
2018.7.11,26.19,27.61,25.43,25.52
2018.7.12,25.57,25.57,22.58,23.35
2018.7.13,23.95,24.64,23.52,23.52
2018.7.16,24.6,24.64,23.46,23.46
2018.7.17,23.97,24.46,22.86,22.9
2018.7.18,22.62,22.62,21.07,21.86
2018.7.19,21.45,21.45,20.27,20.73
2018.7.20,22.52,22.93,20.51,21.3
2018.7.23,22.96,23,21.21,21.37
2018.7.24,23.6,23.85,23.07,23.3
2018.7.25,23.7,24.16,23.25,23.28
2018.7.26,23.53,23.57,22.59,22.61
2018.7.27,22.88,23.26,21.6,21.68
2018.7.30,22.6,22.64,21.83,22.02
2018.7.31,22.38,22.45,21.94,21.94
2018.8.1,22.47,24.05,21.95,23.8
2018.8.2,24.2,26.22,24.09,24.73
2018.8.3,25.17,25.8,24.55,24.89
2018.8.6,25.69,26.34,24.81,25.73
2018.8.7,25.6,26.19,25.04,25.28
2018.8.8,25.43,25.92,25.34,25.43
2018.8.9,25.76,25.87,24.87,25.32
2018.8.10,25.35,25.7,24.35,24.53
2018.8.13,25.86,26.43,24.98,25.33
2018.8.14,25.45,25.82,25.11,25.19
2018.8.15,25.55,26.37,25.45,25.92
2018.8.16,27,28.06,26.01,26.17
2018.8.17,26.06,26.77,25.86,26.35
2018.8.20,27.23,27.39,26.29,26.3
2018.8.21,26.53,26.56,23.92,23.95
2018.8.22,24.28,24.35,22.9,22.97
2018.8.23,22.97,22.97,21.6,21.97
2018.8.24,22.24,22.37,21.08,21.91
2018.8.27,22.32,22.68,21.95,22.03
